expression	H3K14ac	H3K18ac	H3K23ac	H3K27ac	H3K27me1	H3K27me2	H3K27me3	H3K36ac	H3K36me1	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K79me1	H3K79me2	H3K79me3	H3K9ac	H3K9me1	H3K9me2	H3K9me3	H3R2me1	H3R2me2	H4K12ac	H4K16ac	H4K20me1	H4K20me3	H4K5ac	H4K8ac	H4K91ac	H4R3me2
5.66148717312976	540	650	60	410	622	470	460	480	681.165	940	740	880.665	55	594.665	210	120	744.5	566	345	85	55	1038	445	420	1200	509	240	692	588	1634	598
4.78397891334843	410	460	300	60	60	542	3049.67	240	614	1245	280	627.665	175	735	150	90	945	512	588.5	265	125	695	290	120	600	332	200	420	300	110	372
9.0563887556678	826	2480.335	834	6565.505	456	55	496	3820	175	1036	2718	851.835	2122	9040.325	463	830	2144.25	3313	1291.165	150	220	446	235	1874.5	1400	90	120	1686	1312	1146	140
7.02921598814387	180	120	120	0	30	141	450	180	175	300	170	90	60	188	30	60	480.5	180	30	60	0	180	148	0	0	146	60	0	0	0	60
4.33533916454308	650	240	176	110	298	376	1146	420	345	870	330	307	30	418	30	60	321	404	177	301	195	441	235	300	540	60	205	580	410	180	348
5.8637661096759	300	420	474	180	90	669	2184	420	623.5	978	450	475	201	607	150	0	679.335	230	231	130	25	774	235	240	780	283.75	205	240	472	520	392
5.11178204430112	770	3179	540	4303	1944.665	256	270	1680	735	1975.5	3024	7992.495	2314.25	9600.915	2795.335	618	504	2578.5	3347.58	145	55	713	661.665	1342	2927.335	4826.5	294	3031	3260.5	3032	379
6.50080832348025	530	240	300	0	90	351	3773.165	180	472	1324	50	524	175	569	30	30	1506.5	50	380	225	310	609	330	360	349.335	587.75	315	60	180	0	462
4.21230758168043	540	890	360	470	341	714	686	582	370	622	450	677	315	838	60	30	500	390	465	329	25	235	285	540	480	120	85	870	1042	622	280
8.43327883189514	480	2867.835	645.335	3577.335	1350.5	90	300	1774	522	512	1928.5	1973.75	1735.5	18743.335	780	300	482	2899	1921.5	496	30	592.835	475	1408	1512	1260.25	60	3358	4752.5	1172	210
4.96647091446941	470	120	180	0	224	402	970	240	265	858	100	327	265	446	30	90	535	170	330	524	133	512	85	180	700	180	50	180	120	0	242
3.78221837407981	240	440	344	230	239	345	1340	300	385	921	110	402	413	783.67	90	30	518	390	295	560	164	336	228	180	540	141	55	240	360	50	410
5.63466280941698	240	264	300	1525	1162.5	195	160	720	618	6924.835	680	1518	444	485	180	90	380	290	553	115	60	401	417	702	1250	1226.75	229	1062	1198	770	363
5.69580238493598	460	4437.5	354	3499.5	1142.5	340	370	2038	576	744	2551.5	3548.085	1852.915	13375.665	390	150	445	2167.5	1736.25	983	55	434	454.5	1718	2103.835	359.165	145	4338.835	3141	3466.5	265
3.96447692602845	404	580	470	520	1290.25	530	674	600	600	1070	760	783	488	672	180	60	666	410	460	145	0	1084.5	470	360	1172	376	115	930	716	816	410
4.23105184386803	296	60	300	0	175	90	1834	180	368	540	60	145	55	481	55	30	410	120	60	385	528	205	205	180	642	60	210	60	60	0	255
4.42197544808244	120	60	120	170	150	195	630	420	200	350	340	387	30	220	30	60	120	290	90	170	200	230	206	300	420	0	30	60	420	0	260
4.49150528416665	360	110	140	180	323	471	550	180	373	410	120	30	145	371	60	30	265	226	275	661	215	265	210	290	540	85	60	60	60	50	289
3.95812002252086	352	230	120	60	150	851	1888	240	550	1860	220	354	145	904	150	60	1955	340	280	260.5	680	555	390	120	420	230	411	120	240	0	579.5
6.96350214149654	300	180	532	640	1455.33	262	682	540	400	7254.335	480	877	552.665	406.5	1076.25	180	575	290	1339.5	230	0	999	621	948	2128	1224	90	1432	1154	470	345
5.3430691493257	762	120	672	230	180	650	2414	240	615	1180	110	372	120	714.665	30	60	528	586	308	300	220	569	252.665	300	590	30	25	300	180	170	456
3.94725761152517	540	234	600	120	594.5	785	2116	404	768	1364	170	150	55	826	60	60	261.5	634	320	455	382	569	205	360	660	175	175	180	590	0	437
5.20985766852038	592	180	600	730	1127	240	320	820	434	2192	360	1430	175	345	60	90	395	570	519.5	85	50	460	280	480	1424.5	298	90	1244	1338	786	375
3.28568551494795	300	460	120	0	180	265	670	240	220	622	290	220	90	316	30	30	539	180	60	120	0	352	198	300	540	60	175	420	180	120	278
5.2308946902306	530	394	300	50	90	465	1096	240	440	1106	420	150	55	416.25	30	0	584	520	155	180	55	315	365	60	460	60	25	420	540	120	202
4.67547719361977	780	470	540	250	174	215	1194	300	415	490	180	350.75	90	355	0	60	316	120	341	295	75	229	240	180	300	30	115	480	420	0	260
8.10744894082318	660	180	480	60	1183	488	594	120	472	7351	160	330	300	328	237	260.5	587	300	706	514.75	75	579	442	780	660	1001.25	90	590	420	120	394
4.93204941362336	416	280	240	180	259	704	1349	374	1017	1362	50	496	60	560.5	30	30	833	670	261	440	105	1011	444	420	300	235	60	832	420	60	295
3.88609270221464	329	455	150	453	175	572	1478	415	478	650	260	756	604.5	1898.75	150	30	491	290	651	607	185	370	234	298	330	173	240	416	298	345	170
4.74090140721445	412	355	60	0	60	386	3168.5	120	593	1018	115	582	260	879	30	60	1111.75	175	439	345	210	755	285	90	596	293	120	120	150	85	380
3.08721468223535	300	120	180	240	205	263	752	120	319	584	230	180	175	240	0	90	440	360	145	544	160	434	368	360	460	140	120	0	120	0	342
8.49531970136315	1115	10781.165	1710	14768.835	1191.5	200	280	4742.5	726	734	8684.5	10744.575	4034.665	9218.995	2106.915	943.5	1571.5	4305.335	4244.75	176	30	734	484	2706	3146.5	688	120	6092.335	5034.835	10838.67	380
3.47336144183313	206	206	120	90	316	620	1052	210	617.165	1096	30	210	140	629.5	0	30	873	55	285	439	474	512	240	150	240	114	150	60	150	30	253
5.49537768881285	120	1142	352	1556	1102	156	330	888	575	1258	1074	1230.75	521	4219.245	203	120	350	1130	1459.5	290	30	548	360	984	1182	1636.33	300	1052	1578	1898	385
3.06461447225027	540	0	0	108	262	222	616	180	368	1153.5	60	81	80	190	0	60	341	180	30	640.5	380	506	374	80	420	55	120	60	230	0	280
5.4986568708088	120	50	120	60	373	462	562.67	240	294	640	60	264.5	120	492	60	30	291	260	169	689	391	437	475	120	240	60	260	60	120	0	405
6.18589478865113	766	1896.335	652	1422	908.5	324	190	860.5	364	760	750	3036.83	1771.165	9675.415	292	180	480	1020	2001.585	145	25	421	210	840	1208	265	115	1196	2389.5	862	253
5.70052885403513	360	270	30	30	290	451	650	358	312	520	132	558	50	258	150	0	530	50	330	170	55	699.5	270	70	150	115	115	236	180	90	170
4.88841944803708	480	260	180	0	85	255	1570.5	60	340	712	120	322	150	285	90	60	729	290	210	175	30	527	180	0	480	180	120	120	60	0	272
4.1340842112177	590	240	120	160	235	350	1020	480	369	1338	170	180	0	600	60	30	573	300	235	679	525	417	325	360	360	115	145	600	200	0	460
5.07679437641494	896	1676	600	1613	797	390	608	1232	487	822	1018	799.5	1150.585	4246.42	60	30	541.75	1597.5	1036.5	360	160	380	380	900	1044	464	55	1846	1356	914	305
2.58318590237871	420	60	60	110	115	496	1366	300	432	470	60	30	144.165	424	30	120	170	360	115	736	241	120	373	60	420	30	30	60	120	170	235
2.41556594995864	470	180	472	50	120	407.5	2418	60	638	1600	300	352	233	1219	90	30	1095	280	563.5	205	110	876.25	205	300	660	117	265	60	180	60	413
3.49828628163571	702	1646	480	470	443	427	1468	588	396	1366.665	1182.335	2735.25	395	693.665	90	60	801	300	548	230	80	701	517	300	1300	435	165	938	654	1422	496
4.36520786374724	360	230	240	60	326	611	1324	240	388	810	160	372.915	175	250	0	90	518	230	229	499	170	348	315	120	230	30	145	420	478	0	174
7.37906430582556	420	3520.335	800	6130	804.5	411	160	3404.835	771	360	3013.335	1938.25	1535.25	11251.58	921.5	1006	1384	4435.5	1553.915	380	80	774	420	1060	2682.5	935	233	4249	3987.5	4447	265
5.54557970731102	600	2296	300	4320.165	1061	267	340	1384	612	972	1664.5	1309.33	1152	14382.5	523.665	294	1135.165	3600	1200.335	400	80	369	90	818	1496.5	90	210	2613.5	3810.665	2692.5	235
5.65723579199908	1238	2451	928	4931.005	2026.75	225	410	1240	655	1986	1550	4362.25	2204.165	5375.25	693.25	120	737	1469	3340.415	370	85	639	330	2184	2550	769	180	4744.335	5215.5	1600	320
5.82298391131352	420	50	300	50	417	377.25	1536	300	581	754	210	237	280.25	550	30	0	432.5	510	80	621.165	319	170	325	180	480	85	0	120	346	0	315
7.58936870072827	120	225	150	205	400	142	170	60	330	180	120	1183	501	175	750	351	455	175	1306	204	25	360	180	150	255	599	90	270	300	85	110
5.4215764921285	240	240	300	230	198	555	1662	300	678	904	170	319	165	591	30	60	601	360	80	710	239	455	340	360	480	90	146	290	240	60	210
3.46823745879786	510	837	330	285	150	225	2824.835	450	529	1212	670.5	2071.25	798	2890.92	120	60	1209	533	1262.665	252	55	1315	441	609	489	1520	205	388	558	643	617
3.74449153410683	290	120	180	350	314	578	948	180	150	648	290	382	145	370	30	0	764	120	145	90	30	642.665	412.25	70	1188	230	115	420	312	220	443
2.51089517029435	530	0	420	344	225	355	1672	180	220	1374	290	185	150	506	120	120	826	510	265	255	385	501	276	60	420	115	280	230	240	60	225
5.41672243092666	204	2097.75	120	1109.5	1223	363	340	764	467	1084	1271	3645.335	1316.665	6428.415	1430.665	263.25	649	520	2363.75	60	55	1024.5	500	577	1792.665	3606.335	496	661	675.5	2565.67	543
2.63409216642525	180	240	660	180	205	520	1868	130	305	872	170	55	60	607	90	0	363	290	175	344	290	410	381	240	412	30	145	420	650	60	200
10.1481988390932	1172	13073.5	1434	15102.835	453	170	240	7287.835	314	1618	10145.165	7005.91	2926	5772.005	1896.5	1024	1742.415	5844	2746.415	225	25	784.5	675	2784	3760	658.5	300	8265.165	3642.5	15324	259
1.60169299786165	0	0	240	108	426	419	600	120	295	706	110	90	90	375	0	60	261.165	290	180	536	295	270	350	60	420	30	55	60	120	0	260
4.02519908980651	642	110	120	50	115	397	1636	420	435	740	750	300	120	384	90	30	362	440	135	180	110	468	348.25	224	360	176	120	120	348	172	240
3.58330502668973	588	2444	1038	2851	686.5	224	892	2604	503	460	924	600	2876.165	19057.26	210	141	421	2358	1932.915	200	100	411	265	1325	1132	60	30	3337.5	4596	1439.5	150
5.37975218171322	180	2445.335	240	504	909	364	160	1618	582	870	2140.335	4028.665	676.25	255	1677.5	674.25	1594	520	855	141.5	55	907.75	377	468	1934	1159	140	1576	1036	2793	366
8.69210570222224	300	2563.165	526	4100.67	482	253	240	4657	310	528	2824	756.25	2031.08	10844.575	785	2368.08	2815.165	2554.335	1783.75	237	50	735	463	1118	1006	451	30	2283.335	888	2398	378
6.13329283138835	300	1415	240	1164.165	687	287	396	2139.25	265	1156	1271	867	371	1821.585	270	180	140	558	771.25	240	80	560	227.5	455	606	50	85	1392.25	2105.75	1268.5	265
3.29103275211386	480	3548.665	480	780	338	263	1068	1698	446	1388	1788.335	1762.5	618	478	150	60	523	690	767	455	110	817	374	120	950	260	90	1032	948	1260	300
5.36279104183316	440	170	120	60	511	663	1514	60	347	966	60	526	150	638	60	0	840	408	240	410	165	569	398	180	840	210	227	382	120	180	330
4.13978069521382	720	5681	300	2492.5	975	295	330	3676.165	514.5	400	4168	4143.415	859.5	713	235	30	385	952	1204.5	330	110	538	270	1020	840	295	144	2615	2187	3615	282.5
3.552211719736	620	206	240	60	143.665	1007	1734	406	595	956	300	173	225	646	30	60	557	390	222.5	312	79	613	221	238	296	120	145	120	464	120	462
7.89080518950782	356	1590.5	143	1785.165	912	145	170	712	470	810	1359	4667.335	1479.25	7179.17	900	827	2044.25	729.165	1939.25	90	50	419	300	220	889	1755.75	85	1007	587	1323	260
3.52850528180281	360	460	120	110	147	250	390	240	140	610	110	202	0	322	0	60	561	180	210	320	195	218	340.165	180	476	90	176	300	660	110	252
2.97164959991303	180	325	60	30	175	230	290	150	439	340	60	470	141.5	614	150	30	533	224	235	0	25	548.5	270	30	718.25	415	145	90	120	85	230
6.596778649538	578	810	474	410	255	275	766	530	526	430	450	823.25	212	436.5	60	60	325	332	340	332	0	150	234	180	480	0	0	778	730.5	230	110
8.04469525396861	590	1702	990	3259.835	1100	170	170	1170	579	638	964	2468.92	2968.67	7130.085	1144	3261.415	3060.835	1390	2587.915	150	55	440	145	1600	1490	1301.75	30	1289.335	1640	360	210
5.08619411801727	600	1911.5	480	230	793	196	678	466.5	500	1566	1098	949	195	355	390	355	782	290	415	325	75	763	357	300	700	115	90	886	780	760	410
5.12126092467836	240	230	360	174	539	558	590	420	699.5	1209	280	425.665	221	437	0	120	536.25	180	90	235	0	619	522.165	526	886	0	195	430	826.5	110	254
3.32591153660124	412	120	114	120	291	729	1980.5	360	653	1348	180	383	210	520	30	0	651	470	238	387	85	592	450	240	572	315	255	360	120	0	465
6.55738754556449	780	160	350	60	295	404	1044	180	391	636	170	180	265	584	30	30	380	290	265	731	185	423	170	60	360	120	170	180	420	0	229
4.0126743503262	420	762	450	460	230	225	384	348	531.5	980	680	415	224	696	120	0	603	446	309	90	55	524	150	480	720	85	170	1210	1512	360	200
3.89389946168187	120	60	240	0	90	195	924	0	230	230	0	142	115	260	120	30	234	214	120	240	220	265	265	0	580	120	90	120	180	0	290
