expression	H3K14ac	H3K18ac	H3K23ac	H3K27ac	H3K27me1	H3K27me2	H3K27me3	H3K36ac	H3K36me1	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K79me1	H3K79me2	H3K79me3	H3K9ac	H3K9me1	H3K9me2	H3K9me3	H3R2me1	H3R2me2	H4K12ac	H4K16ac	H4K20me1	H4K20me3	H4K5ac	H4K8ac	H4K91ac	H4R3me2
4.53932627987283	300	110	180	100	180	289	2375.335	420	383	908	300	602	350	1140.665	60	60	1339.665	260	455	385	187	257	90	180	480	145	195	180	0	170	446
7.12478417382982	590	4224.335	700	2982	986	85	0	2226	463	798	2494.665	2161	2248.835	12095.92	703.25	539	1197	2723	2513.915	221.665	0	320	115	1164	2140.5	1015.165	30	2662	2886.67	4721.5	170
8.29776273801391	819	6250.67	944	7133.835	1254	170	170	6633	675	1036	5502	3635.835	3092.75	17096.255	1758	1905	2908.335	6394.335	3289.665	373	25	530	230	1589	2243	2644.415	0	4406.665	3477	7393.665	392
5.86026899570955	180	880	180	1788	484	280	340	1646	437	3086.5	1263	1108.25	810.665	4272.745	717	119	913	952	907	947	210	725	370	1190	1254	823.165	303	1570	2014	574	312.5
8.25118780610645	708	3929.5	1371.335	5556.335	1042	230	60	3282.335	738	762	3393.5	4149.92	1793.75	14255.41	1217.5	768	1495.25	4753.5	1956	298	115	455	395	1227.335	1920	2103.335	60	3439	2442	3761.5	205
4.83030016305165	478	1494	352	1390	693	305	330	1784	224	544	1384	695.5	734.5	5646.58	0	0	294	1152	1046	120	50	949.5	407.5	1170	1068	170	175	1723	2604.67	908	90
8.13398358220649	826	10358.34	1276	12911.165	1897.165	205	230	8012.165	891	588	8320.835	3353.915	2498.5	26792.25	1960.25	1885.665	2349.585	14345.665	3147.165	235	85	757	445	2126	3521	1226	165	8451.335	8006.5	11159	313
6.39730375189992	240	3696.33	646	2536	831	447.165	460	2715.5	515	682	2692	3177.245	2217.33	10050.83	1289	1162	1608.335	2485	2710.33	480.25	110	454	175	986	1740	1617.58	114	3423	3696	3473.335	464
5.55621011018907	540	560	352	216	235	115	1914	116	392	2344	240	3359.25	1180.75	3848.165	501	150	1363	590	1779.915	90	110	750	295	360	950	6666.505	180	540	240	110	360
4.40633929704353	252	344	60	0	210	230	900	120	414	994	60	410.25	261	2316.75	176	60	906	240	540	240	205	225	200	120	480	596	120	60	200	100	345
8.75060385508622	766.665	6882.835	524.5	8508.5	1463.165	55	170	3980.165	576	570	6765	6810.495	2356.915	9643.745	2616.5	1006.5	889	5691	2854.75	144	115	606	650	2481	6010.165	1420.165	145	6890.835	3749	10373.005	574
5.89281065833428	446	3663.58	785	5144.5	803.25	230	564	1808	617	906	3215.83	4751.995	4834.495	13218.245	2047	1836.25	2997.415	2894.25	3544.835	355	170	582	378	842.665	1960.25	589	55	2624.665	1926.5	4505.5	290
7.88578812569181	60	6464.67	746.665	10336.67	472	160	170	4721.335	565	908	6088.67	6763.42	3163.08	15949.075	1297	1521.75	2673.25	3785.5	3379.585	262	60	925	398	1562	2865	6277.495	125	4295.835	2345	8208	205
6.34446286553471	688	3727	1167.835	6130.335	1453.165	217	300	1692.67	744	228	1734	3895.085	3580.5	15857.495	1877.5	563	670.75	4059	2774	235	80	610.5	325	1278	2874.335	425	110	3660.5	3289.335	3213	160
6.17375068660809	474	3437.5	540	2661.165	730	350	270	2605.5	612.165	950	1538	2357.17	2961.75	16823.835	578	147	696	2078	2794.25	342	155.25	564	202	1178	1802	906	224	1372.335	2567	2104	289
8.23156500828899	385	4180.58	589.5	5565.245	1456.665	144	410	2694.25	614	1568.665	4029.5	3988.42	3148	17373.245	1754.25	5158.75	7742.165	5166.745	3029.75	195	55	606	290	1195	2070.585	4251.915	195	2540.5	1751	6703.165	317
3.8595850561731	470	60	240	60	90	115	2779.5	180	180	1122	60	85	85	689	0	30	1543.585	240	150	338	1106.665	400	430	120	360	150	730	0	60	0	335
5.42382824315334	480	2109.335	240	2043	770	175	460	1787	561	1470	1412	2711.75	1341	9252.505	1267.75	928.665	1693.835	1753.5	1378.165	380	315	371	442	1080	1403.335	705.25	2680.585	1112	1146	2247	263
6.58270357906035	180	2028	240	300	210	221	1154	480	250	840	1242	2911.75	735.165	4101.75	150	90	1575.25	360	1332	25	115	396	385	540	650	5484.745	249.165	480	120	916	174
7.46243691398133	180	7076.665	600	6301.665	730	370	50	4557.665	419.165	368	3497	1266	1983.165	15359.425	283	120	703	5860.5	1856.5	210	55	475	480	1730	2152.665	519	205	4668.665	4399	5820	255
6.44252742753356	180	1083.5	300	1422	997	115	220	736	372	290	846.165	1358	1047	10687.59	1222	2577.75	2741	1115	1457.665	263	25	402	291	881.25	870	680.165	25	1057.5	1557.165	818	427
